first_name,last_name,phone_number,nationalID,gender,faculty,course
Jaspher,Torotich,254756586281,533174,male,PHY_SCI,B.Sc. Physics
Irene,Mwenda,254747410941,535035,male,PHY_SCI,B.Sc. Physics
Chepkemoi,Ochola,254719031220,524551,male,PHY_SCI,B.Sc. Chemistry
Alex,Mwanthi,254729178396,395127,male,BUS,B.Com Commerce
Lucy,Marire,254745369340,700254,female,HEALTH_SCI,MBBS. Medicine and Surgery
Collins,Obuya,254772449807,188791,female,LAW,LL.B Law
Nancy,Mwenda,254717230557,665606,male,BUS,B.HRM Human Resource Management
Agnes,Kegode,254756191961,683864,female,BUS,B.HRM Human Resource Management
Diana,Mwaura,254754376354,308925,female,SOC_SCI,B.A Psychology
Manases,Nyaga,254735886530,909736,female,HEALTH_SCI,BDS. Dental Surgery
George,Juma,254746471752,108788,male,EDU,B.S.Ed Special Education
Migiro,Mirimo,254757402635,497286,female,PHY_SCI,B.Sc. Mathematics and Statics
Timothy,Syongok,254755862885,105931,female,SOC_SCI,B.A Psychology
Ronald,Kegode,254723006958,434292,male,BUS,B.Int.B International Business
Job,Mbuthia,254799595782,887831,female,SOC_SCI,B.A International Relations
Ngeno,Shiundu,254767097430,654341,female,EDU,B.Ed Education
Hillary,Otieno,254767735377,528797,male,BUS,B.Com Commerce
Edwin,Irungu,254712745999,387351,male,HEALTH_SCI,BDS. Dental Surgery
Jennifer,Bwire,254771010458,829059,female,SOC_SCI,B.A Psychology
Esther,Nero,254742666579,344486,female,SOC_SCI,B.A International Relations
Catherine,Wanyonyi,254788213190,705247,male,EDU,B.Ed Education
Koome,Odhiambo,254771898960,355937,female,PHY_SCI,B.Sc. Mathematics and Statics
Mark,Anaya,254796695785,703433,female,BUS,B.Int.B International Business
Maurice,Nzioki,254742035986,264107,female,EDU,B.Ed Education
Alex,Odhiambo,254712994947,950042,male,HEALTH_SCI,MBBS. Medicine and Surgery
Moses,Paul Kioko,254763681809,569236,female,EDU,B.S.Ed Special Education
Effie,Nakhumicha,254773449702,946873,female,EDU,B.S.Ed Secondary Education
Hellen,Riungu,254726597942,640669,male,BUS,B.HRM Human Resource Management
Emma,Egesa,254780884279,712126,male,HEALTH_SCI,BDS. Dental Surgery
Mogusu,Songa,254748420265,980183,male,EDU,B.Ed Education
Thomas,Ngumbi,254774259971,530511,male,PHY_SCI,B.Sc. Computer Science
Edwin,Egesa,254757662690,656910,female,HEALTH_SCI,MBBS. Medicine and Surgery
Fred,Ibelia,254736676218,860571,male,BUS,B.Int.B International Business
Douglas,Amusala,254759835236,284206,male,SOC_SCI,B.A Political Science
Jack,Sakwa,254780663097,142514,male,PHY_SCI,B.Sc. Physics
Jennifer,Gathoni,254716707796,730697,male,HEALTH_SCI,MBBS. Medicine and Surgery
Bakari,Nthoki,254745312322,341943,female,EDU,B.S.Ed Secondary Education
Moses,Mutaki,254740700671,136822,male,EDU,B.S.Ed Special Education
Phenuel,Ongwae,254760260816,443884,male,SOC_SCI,B.A Anthropology
Eliud,Mulinge,254795494846,176106,male,EDU,B.S.Ed Secondary Education
Ronald,Mwasi,254745984456,917592,female,PHY_SCI,B.Sc. Mathematics and Statics
Fred,Mutaki,254774266460,833680,female,HEALTH_SCI,BDS. Dental Surgery
Thomas,Juma,254767364721,801807,female,HEALTH_SCI,BSN. Nursing
William,Nyaundi,254766914991,259521,female,SOC_SCI,B.A Political Science
William,Maina,254773414117,421713,male,PHY_SCI,B.Sc. Chemistry
James,Gathoni,254757538445,618609,male,HEALTH_SCI,BPH. Public Health
Fred,Adika,254728505615,631174,female,BUS,B.F Finance
Maxwell,Riungu,254764715863,245480,male,PHY_SCI,B.Sc. Computer Science
Koome,Okeyo,254723127541,452249,female,BUS,B.B.A Business Administration
Sheillah,Mutungu,254723838111,622456,male,BUS,B.Com Commerce
Moses,Juma,254782756704,313691,male,BUS,B.B.A Business Administration
Januaris,Singoei,254768298560,263703,female,PHY_SCI,B.Sc. Physics
Linet,Juma,254734021237,733387,male,LAW,LL.B Law
Okuta,Odero,254772505581,285062,male,EDU,B.S.Ed Secondary Education
Victor,Ahmed,254783294305,289401,female,EDU,B.E.C.E Early Childhood Education
Nicholas,Nyakundi,254771648162,756568,female,HEALTH_SCI,BPH. Public Health
Annex,Mutheki,254777298820,448859,female,EDU,B.E.C.E Early Childhood Education
Esther,Mbithi,254741603000,606702,female,HEALTH_SCI,BSN. Nursing
Solomon,Micere,254794007071,418478,male,SOC_SCI,B.A Political Science
Mark,Mwishe,254742394336,280723,female,SOC_SCI,B.A International Relations
Effie,Waweru,254761494568,125807,female,EDU,B.Ed Education
Ibrahim,Ongwae,254730802692,214570,female,BUS,B.F Finance
Wilfred,Kipsang,254796077727,204121,male,PHY_SCI,B.Sc. Physics
James,Otieno,254710053532,947241,male,BUS,B.Int.B International Business
Moses,Ng'ang'a,254725570470,698656,male,SOC_SCI,B.A Political Science
William,Odhiambo,254763885721,427513,female,BUS,B.Int.B International Business
Delvin,Ngumbi,254743939666,603313,female,PHY_SCI,B.Sc. Computer Science
Hesbon,Torotich,254758374931,198792,male,HEALTH_SCI,MBBS. Medicine and Surgery
Alex,Maina,254729487365,939827,female,PHY_SCI,B.Sc. Biology
Jared,Maguru,254793051314,417830,male,EDU,B.E.C.E Early Childhood Education
Silveria,Ndoni,254795203873,224680,female,SOC_SCI,B.A Political Science
Alfred,Ali,254791927096,341357,male,EDU,B.E.C.E Early Childhood Education
George,Wanjii,254793745581,911565,female,SOC_SCI,B.A Sociology
Alex,Kaguamba,254777620243,763032,female,PHY_SCI,B.Sc. Physics
Mark,Ndeto,254711266945,262032,female,SOC_SCI,B.A Political Science
Christine,Araya,254716299443,213056,male,PHY_SCI,B.Sc. Mathematics and Statics
Hespon,Omulimi,254720649667,415606,female,SOC_SCI,B.A Psychology
Ruben,Mose,254714077529,176793,male,EDU,B.S.Ed Special Education
Obadiah,Ndoni,254711310911,875376,male,EDU,B.S.Ed Secondary Education
Moses,Chege,254760775260,259030,male,PHY_SCI,B.Sc. Biology
Ruth,Lekodesa,254733838384,997810,female,BUS,B.HRM Human Resource Management
Ruben,Obuya,254791195285,971864,male,EDU,B.E.C.E Early Childhood Education
Festus,Nduati,254712158706,821510,female,BUS,B.F Finance
Selah,Ongoma,254783886348,354943,male,PHY_SCI,B.Sc. Computer Science
Ayalo,Chepkemoi,254797291919,944341,female,EDU,B.E.C.E Early Childhood Education
Erick,Nthoki,254783425731,520444,female,PHY_SCI,B.Sc. Mathematics and Statics
Isaac,Mwiti,254725771467,307300,female,PHY_SCI,B.Sc. Biology
Moses,Gichana,254773501124,969956,male,EDU,B.E.C.E Early Childhood Education
Kiplangat,Mose,254752493845,901660,female,PHY_SCI,B.Sc. Chemistry
Geoffrey,Kirui,254711613358,107714,male,BUS,B.B.A Business Administration
Jared,Mutua,254732259261,989958,male,SOC_SCI,B.A Psychology
Andrew,Mutwiri,254747462379,693544,male,PHY_SCI,B.Sc. Physics
Chepkemoi,Wafula,254763198544,521285,male,BUS,B.B.A Business Administration
Mark,Ajuk,254786735043,594427,male,BUS,B.Int.B International Business
Farida,Amusala,254744544531,575485,male,SOC_SCI,B.A International Relations
Maxwell,Saiti,254773452609,430732,male,SOC_SCI,B.A Anthropology
Maxwell,Ngumbi,254726241852,810994,female,SOC_SCI,B.A Anthropology
Joyline,Waweru,254776246761,897798,male,BUS,B.Int.B International Business
Esther,Ali,254794218032,373006,male,EDU,B.S.Ed Secondary Education
Shadrack,Kiringa,254754724057,809137,male,BUS,B.B.A Business Administration
David,Mbithi,254774878342,828964,male,SOC_SCI,B.A International Relations
Hesborne,Wangwe,254718630497,466875,male,PHY_SCI,B.Sc. Biology
Mogusu,Nyaundi,254783217701,116658,female,EDU,B.S.Ed Special Education
Leah,Mwasi,254798815308,446704,male,PHY_SCI,B.Sc. Mathematics and Statics
Frank,Gathoni,254751883108,737811,male,BUS,B.B.A Business Administration
Okuta,Mukangai,254755668696,256390,female,SOC_SCI,B.A International Relations
Isaac,Nakhumicha,254720113384,125164,female,BUS,B.B.A Business Administration
Ronald,Jemeli,254781007974,371682,female,HEALTH_SCI,MBBS. Medicine and Surgery
Anastacia,Okeyo,254741787045,636423,male,SOC_SCI,B.A International Relations
Nancy,Gitonga,254788240123,773534,female,SOC_SCI,B.A Psychology
Claris,Nandeke,254718906117,839126,male,EDU,B.S.Ed Secondary Education
Peter,Njoroge,254721471639,785125,female,EDU,B.E.C.E Early Childhood Education
Owuor,Mutungu,254734728553,672987,female,SOC_SCI,B.A Anthropology
Hesborne,Kahuthu,254728744149,994429,female,BUS,B.B.A Business Administration
Elijah,Anaya,254715693444,315992,female,EDU,B.E.C.E Early Childhood Education
Moses,Anaya,254749513440,863063,male,PHY_SCI,B.Sc. Biology
William,Mbithi,254744212819,349919,female,EDU,B.S.Ed Secondary Education
George,Mukangai,254778839402,296546,male,SOC_SCI,B.A Anthropology
Rosaline,Mutwiri,254778390708,461647,female,HEALTH_SCI,BSN. Nursing
Januaris,Adavaji,254778087179,974118,female,PHY_SCI,B.Sc. Physics
Judith,Mutua,254755861773,492873,female,PHY_SCI,B.Sc. Biology
Mark,Opati,254787850103,360059,female,BUS,B.B.A Business Administration
